Date,Name,Year,Letterboxd URI,Rating,Average Rating,Length (mins)
2021-05-04,Coco,2017,https://boxd.it/bYJQ,4.5,4.12,105.0
2021-05-04,Palm Springs,2020,https://boxd.it/lCXQ,3.5,3.76,90.0
2021-05-04,Get Out,2017,https://boxd.it/eOCm,4.0,4.16,104.0
2021-05-09,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,2.5,3.58,161.0
2021-05-09,The Truman Show,1998,https://boxd.it/18U8,3.5,4.21,103.0
2021-05-12,Avengers: Infinity War,2018,https://boxd.it/9vEe,5.0,3.96,149.0
2021-05-14,Peter Pan Goes Wrong,2016,https://boxd.it/fkU8,5.0,4.08,65.0
2021-05-16,Tag,2018,https://boxd.it/gh7Y,1.5,2.97,100.0
2021-05-17,Knives Out,2019,https://boxd.it/jWEA,5.0,3.99,131.0
2021-05-28,A Quiet Place Part II,2020,https://boxd.it/iTx0,3.0,3.44,96.0
2021-05-28,A Quiet Place,2018,https://boxd.it/fVJQ,3.0,3.65,91.0
2021-06-01,Bo Burnham: Inside,2021,https://boxd.it/v2uy,4.0,4.2,87.0
2021-06-05,The Other Woman,2014,https://boxd.it/5Q3U,1.0,2.9,109.0
2021-06-10,The Princess Bride,1987,https://boxd.it/26EY,4.5,4.05,99.0
2021-06-10,Matilda,1996,https://boxd.it/1VhY,3.0,3.7,98.0
2021-06-12,Spy,2015,https://boxd.it/71Ks,2.0,3.17,120.0
2021-06-12,2001: A Space Odyssey,1968,https://boxd.it/2bf0,1.5,4.3,149.0
2021-06-12,Interstellar,2014,https://boxd.it/4VZ8,2.0,4.34,169.0
2021-06-12,The Godfather,1972,https://boxd.it/2aNK,2.0,4.55,175.0
2021-06-12,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6,1.5,3.13,330.0
2021-06-15,Jojo Rabbit,2019,https://boxd.it/iEBG,5.0,4.03,108.0
2021-06-15,Chernobyl,2019,https://boxd.it/mkbG,4.5,4.57,327.0
2021-06-15,Captain America: The First Avenger,2011,https://boxd.it/28b0,4.0,3.26,124.0
2021-06-15,Iron Man 2,2010,https://boxd.it/1WZM,1.5,2.86,124.0
2021-06-15,Thor: The Dark World,2013,https://boxd.it/2DqA,2.0,2.22,112.0
2021-06-15,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,https://boxd.it/1WZs,1.5,2.82,113.0
2021-06-19,In the Heights,2021,https://boxd.it/gLhu,3.5,3.49,143.0
2021-06-20,Midsommar,2019,https://boxd.it/jhxe,1.5,3.78,147.0
2021-06-20,Incredibles 2,2018,https://boxd.it/7IPg,1.5,3.44,118.0
2021-06-22,Raya and the Last Dragon,2021,https://boxd.it/jbkI,1.5,3.28,107.0
2021-06-23,Alien³,1992,https://boxd.it/20zS,1.5,2.87,114.0
2021-06-23,Alien Resurrection,1997,https://boxd.it/20zI,1.0,2.58,109.0
2021-06-23,Die Hard With a Vengeance,1995,https://boxd.it/28zG,3.0,3.69,128.0
2021-06-23,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,2.0,3.79,146.0
2021-06-23,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/4hk0,1.5,3.28,137.0
2021-06-23,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4hka,1.5,3.2,123.0
2021-06-23,Maze Runner: The Scorch Trials,2015,https://boxd.it/9hwA,1.5,2.91,131.0
2021-06-23,The Maze Runner,2014,https://boxd.it/5YPM,2.0,3.3,113.0
2021-06-23,Maze Runner: The Death Cure,2018,https://boxd.it/bakw,1.5,3.06,143.0
2021-06-23,The Terminator,1984,https://boxd.it/2aQY,3.0,3.89,108.0
2021-06-23,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,3.5,4.28,137.0
2021-06-23,Terminator 3: Rise of the Machines,2003,https://boxd.it/2aES,1.5,2.65,109.0
2021-06-23,Terminator Genisys,2015,https://boxd.it/35s0,1.0,2.19,126.0
2021-06-23,Terminator Salvation,2009,https://boxd.it/2abQ,1.0,2.54,115.0
2021-06-23,Toy Story,1995,https://boxd.it/29qA,3.0,4.13,81.0
2021-06-23,Toy Story 2,1999,https://boxd.it/29qq,2.5,3.93,92.0
2021-06-26,3 Idiots,2009,https://boxd.it/1Dsa,3.5,4.05,170.0
2021-06-28,Promising Young Woman,2020,https://boxd.it/loRE,4.0,3.67,113.0
2021-06-28,Ghostbusters,1984,https://boxd.it/g2w,3.5,3.76,107.0
2021-06-28,Clue,1985,https://boxd.it/1MDQ,3.5,3.85,94.0
2021-07-04,Us,2019,https://boxd.it/gnV6,3.0,3.65,116.0
2021-07-07,Shaun of the Dead,2004,https://boxd.it/29J8,3.5,3.98,99.0
2021-07-13,Black Widow,2021,https://boxd.it/hWV8,2.0,2.93,134.0
2021-07-25,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,1.5,4.27,87.0
2021-07-25,Office Space,1999,https://boxd.it/28Em,0.5,3.73,90.0
2021-07-25,Captain Marvel,2019,https://boxd.it/9vSA,1.5,2.7,124.0
2021-07-31,Cool Hand Luke,1967,https://boxd.it/29jY,2.0,4.14,127.0
2021-08-04,The Boat That Rocked,2009,https://boxd.it/1FZA,3.5,3.57,135.0
2021-08-05,How to Train Your Dragon,2010,https://boxd.it/1WRy,3.5,4.01,98.0
2021-08-18,Safety Last!,1923,https://boxd.it/1AkW,3.5,4.1,74.0
2021-09-03,What We Do in the Shadows,2014,https://boxd.it/7eQy,3.0,4.11,86.0
2021-09-08,Watchmen,2019,https://boxd.it/ol5e,4.5,4.26,529.0
2021-09-12,Pulp Fiction,1994,https://boxd.it/29Pq,2.5,4.27,154.0
2021-09-14,Sunshine on Leith,2013,https://boxd.it/6nzu,4.0,3.26,100.0
2021-09-28,Ip Man,2008,https://boxd.it/1NrQ,3.5,3.91,106.0
2021-09-29,The Voyeurs,2021,https://boxd.it/nZoe,3.0,2.65,117.0
2021-10-02,Gifted,2017,https://boxd.it/e5dG,4.0,3.64,101.0
2021-10-03,Monty Python's The Meaning of Life,1983,https://boxd.it/249E,3.0,3.79,107.0
2021-10-04,Ip Man 2,2010,https://boxd.it/18gs,3.5,3.57,108.0
2021-10-04,Jaws,1975,https://boxd.it/2a5e,3.0,3.96,124.0
2021-10-04,Ip Man 3,2015,https://boxd.it/cDqA,3.0,3.21,105.0
2021-10-05,The Notebook,2004,https://boxd.it/1UNE,2.5,3.68,123.0
2021-10-07,The Hobbit: The Battle of the Five Armies,2014,https://boxd.it/43aU,2.0,3.16,144.0
2021-10-07,The Hobbit: The Desolation of Smaug,2013,https://boxd.it/nmS,1.5,3.37,161.0
2021-10-09,The Invention of Lying,2009,https://boxd.it/1zGs,2.5,2.76,100.0
2021-10-09,The Queen's Gambit,2020,https://boxd.it/s1Ym,2.5,4.23,393.0
2021-10-09,No Country for Old Men,2007,https://boxd.it/21ew,3.5,4.33,122.0
2021-10-11,Ip Man 4: The Finale,2019,https://boxd.it/g2eq,3.5,3.21,107.0
2021-10-12,Good Will Hunting,1997,https://boxd.it/2ahY,5.0,4.3,127.0
2021-10-13,Highlander,1986,https://boxd.it/20GE,3.5,3.32,116.0
2021-10-14,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,5.0,4.5,201.0
2021-10-14,Mars Attacks!,1996,https://boxd.it/2bd4,1.5,3.22,106.0
2021-10-17,The Sixth Sense,1999,https://boxd.it/29Js,5.0,4.02,107.0
2021-10-17,Hero,2002,https://boxd.it/2bcq,4.5,3.96,99.0
2021-10-17,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,5.0,4.36,179.0
2021-10-17,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,5.0,3.87,113.0
2021-10-21,Clash of the Titans,2010,https://boxd.it/1GfI,3.0,2.4,106.0
2021-10-22,The Mitchells vs. the Machines,2021,https://boxd.it/i7xm,2.5,3.88,110.0
2021-11-30,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,4.5,3.95,130.0
2021-11-30,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,4.0,3.66,153.0
2021-12-03,Watchmen,2009,https://boxd.it/1QE4,4.5,3.64,163.0
2021-12-13,Shazam!,2019,https://boxd.it/8WBu,2.5,3.11,132.0
2021-12-16,Rise of the Guardians,2012,https://boxd.it/2PXw,2.5,3.49,97.0
2021-12-23,Hawkeye,2021,https://boxd.it/xQqK,1.5,3.34,297.0
2021-12-25,The Imitation Game,2014,https://boxd.it/6aig,3.0,3.8,113.0
2021-12-28,Hot Shots!,1991,https://boxd.it/1YhC,3.5,3.18,84.0
2021-12-28,The Matrix,1999,https://boxd.it/2a1m,4.0,4.16,136.0
2021-12-28,The Matrix Resurrections,2021,https://boxd.it/n87k,3.5,2.73,147.0
2021-12-28,The Matrix Reloaded,2003,https://boxd.it/2a1c,2.0,3.34,138.0
2021-12-28,The Matrix Revolutions,2003,https://boxd.it/2a12,2.0,3.05,129.0
2021-12-29,Tenet,2020,https://boxd.it/leq4,3.5,3.4,150.0
2021-12-29,Lemony Snicket's A Series of Unfortunate Events,2004,https://boxd.it/1T7s,2.5,3.24,108.0
2021-12-29,Megamind,2010,https://boxd.it/16Sk,2.5,3.69,96.0
2021-12-29,Dirty Dancing,1987,https://boxd.it/2baY,2.5,3.64,100.0
2021-12-29,Bohemian Rhapsody,2018,https://boxd.it/f1TK,2.5,3.41,135.0
2021-12-29,Dracula,2020,https://boxd.it/ozuM,3.0,3.17,264.0
2021-12-29,Little Women,2019,https://boxd.it/aSVk,2.5,4.14,135.0
2021-12-29,Doctor Who: The Day of the Doctor,2013,https://boxd.it/a4Bk,3.5,4.14,77.0
2022-01-02,Free Guy,2021,https://boxd.it/k8dm,3.0,3.04,115.0
2022-01-04,Ghostbusters: Afterlife,2021,https://boxd.it/f4Pw,3.0,3.05,124.0
2022-01-05,The Last Duel,2021,https://boxd.it/mQbe,3.0,3.73,153.0
2022-01-05,No Time to Die,2021,https://boxd.it/cPX2,3.0,3.49,163.0
2022-01-10,Encanto,2021,https://boxd.it/kPRu,2.5,3.53,102.0
2022-01-23,The King's Man,2021,https://boxd.it/h714,4.0,2.76,131.0
2022-02-06,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,2.5,2.81,142.0
2022-02-12,The Gentlemen,2019,https://boxd.it/iYBQ,5.0,3.69,113.0
2022-02-21,The Suicide Squad,2021,https://boxd.it/fw6O,4.5,3.51,132.0
2022-03-20,King Arthur: Legend of the Sword,2017,https://boxd.it/8lDS,2.0,2.79,126.0
2022-03-20,Neighbors,2014,https://boxd.it/5Txe,2.5,2.88,97.0
2022-03-27,Collateral Beauty,2016,https://boxd.it/bAIu,1.5,2.79,97.0
2022-04-05,10 Things I Hate About You,1999,https://boxd.it/23AO,4.0,3.99,97.0
2022-04-10,The Intouchables,2011,https://boxd.it/2FT0,4.0,4.12,113.0
2022-04-10,"tick, tick... BOOM!",2021,https://boxd.it/jz2e,3.5,3.83,115.0
2022-04-14,Interview with the Vampire,1994,https://boxd.it/29XO,1.5,3.58,123.0
2022-04-14,Snatch,2000,https://boxd.it/2b7U,2.5,4.01,103.0
2022-04-15,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,4.0,3.41,242.0
2022-04-16,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,2.5,4.3,95.0
